0.4934049645547679 : d=  0.1, dist=euclidean, kernel=triangular
0.4934049645547679 : d=  0.1, dist=euclidean, kernel=quartic 
0.4934049645547679 : d=  0.1, dist=euclidean, kernel=epanechnikov
0.4934049645547679 : d=  0.1, dist=euclidean, kernel=cosine  
0.49285106033432363 : d=  1.0, dist=chebyshev, kernel=quartic 
0.49228350557855205 : d=  1.0, dist=chebyshev, kernel=triangular
0.49119520506486913 : d=  1.0, dist=manhattan, kernel=uniform 
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=triweight
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=tricube 
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=triangular
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=quartic 
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=epanechnikov
0.48874341194702636 : d=  0.5, dist=euclidean, kernel=cosine  
0.4879510120992235 : d=  1.0, dist=chebyshev, kernel=epanechnikov
0.48204715275171445 : d=  0.1, dist=euclidean, kernel=gaussian
0.48063741832244294 : d=  1.0, dist=chebyshev, kernel=cosine  
0.4803898101114156 : d=  0.1, dist=euclidean, kernel=sigmoid 
0.4803898101114156 : d=  0.1, dist=euclidean, kernel=logistic
0.4717098228813166 : d=  0.5, dist=chebyshev, kernel=uniform 
0.4717098228813166 : d=  0.5, dist=chebyshev, kernel=epanechnikov
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=uniform 
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=triweight
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=tricube 
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=triangular
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=quartic 
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=epanechnikov
0.4622442232180653 : d= 0.01, dist=chebyshev, kernel=cosine  
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=uniform 
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=triweight
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=tricube 
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=triangular
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=quartic 
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=epanechnikov
0.4622442232180653 : d=  0.1, dist=chebyshev, kernel=cosine  
0.4615467436590892 : d=  0.5, dist=chebyshev, kernel=cosine  
0.4607887897268448 : d=  0.5, dist=chebyshev, kernel=tricube 
0.4607887897268448 : d=  0.5, dist=chebyshev, kernel=quartic 
0.45639915733451597 : d= 0.01, dist=chebyshev, kernel=gaussian
0.45639915733451597 : d=  0.5, dist=chebyshev, kernel=triweight
0.45639915733451597 : d=  0.5, dist=chebyshev, kernel=triangular
