0.49640708866781635 : k=  3, dist=euclidean, kernel=cosine  
0.49592186296169677 : k= 11, dist=chebyshev, kernel=epanechnikov
0.49522704050353533 : k= 56, dist=chebyshev, kernel=uniform 
0.49522704050353533 : k= 46, dist=chebyshev, kernel=uniform 
0.49522704050353533 : k= 37, dist=chebyshev, kernel=uniform 
0.49522704050353533 : k= 29, dist=chebyshev, kernel=uniform 
0.49522704050353533 : k= 22, dist=chebyshev, kernel=uniform 
0.49522704050353533 : k= 16, dist=chebyshev, kernel=uniform 
0.49435464972498183 : k= 11, dist=euclidean, kernel=triangular
0.49432391549497307 : k= 22, dist=euclidean, kernel=tricube 
0.49401288022618933 : k=  3, dist=manhattan, kernel=epanechnikov
0.49285106033432363 : k= 56, dist=chebyshev, kernel=quartic 
0.49285106033432363 : k= 46, dist=chebyshev, kernel=quartic 
0.49285106033432363 : k= 37, dist=chebyshev, kernel=quartic 
0.49285106033432363 : k= 29, dist=chebyshev, kernel=quartic 
0.49285106033432363 : k= 22, dist=chebyshev, kernel=quartic 
0.49228350557855205 : k= 56, dist=chebyshev, kernel=triangular
0.49228350557855205 : k= 46, dist=chebyshev, kernel=triangular
0.49228350557855205 : k= 37, dist=chebyshev, kernel=triangular
0.49228350557855205 : k= 29, dist=chebyshev, kernel=triangular
0.49228350557855205 : k= 22, dist=chebyshev, kernel=triangular
0.49217670617362214 : k=  7, dist=euclidean, kernel=epanechnikov
0.4920142900734046 : k= 16, dist=chebyshev, kernel=tricube 
0.4920038331680465 : k=  4, dist=euclidean, kernel=cosine  
0.49175717515761636 : k=  7, dist=euclidean, kernel=cosine  
0.49172160669806103 : k=121, dist=chebyshev, kernel=cosine  
0.49172160669806103 : k=106, dist=chebyshev, kernel=cosine  
0.49172160669806103 : k= 79, dist=chebyshev, kernel=cosine  
0.4913592419664928 : k=  3, dist=euclidean, kernel=triweight
0.4912317138500844 : k=  4, dist=euclidean, kernel=quartic 
0.4909377077453478 : k=  7, dist=manhattan, kernel=tricube 
0.4907007508044333 : k=  3, dist=euclidean, kernel=triangular
0.49005100956429326 : k=  7, dist=euclidean, kernel=tricube 
0.4891398557747022 : k=  3, dist=manhattan, kernel=cosine  
0.4889603494136764 : k=  3, dist=manhattan, kernel=uniform 
0.4879510120992235 : k= 56, dist=chebyshev, kernel=epanechnikov
0.4879510120992235 : k= 46, dist=chebyshev, kernel=epanechnikov
0.4879510120992235 : k= 37, dist=chebyshev, kernel=epanechnikov
0.4879510120992235 : k= 29, dist=chebyshev, kernel=epanechnikov
0.4879510120992235 : k= 22, dist=chebyshev, kernel=epanechnikov
0.4869941287517969 : k= 16, dist=chebyshev, kernel=quartic 
0.4868606648470585 : k=  3, dist=euclidean, kernel=uniform 
0.4868125961988529 : k= 11, dist=euclidean, kernel=cosine  
0.4866882941335496 : k=  2, dist=euclidean, kernel=uniform 
0.4866882941335496 : k=  2, dist=euclidean, kernel=triweight
